game_id,period,game_event_id,possession_event_id,player_id,shirt_number,possession_event_type,position_group_type,team_id,home_team,touches,duration,ball_visibility,ball_x_start,ball_y_start,ball_z,start_frame,end_frame,formatted_game_clock,frame_num,ball_x_end,ball_y_end,shooterPlayer,shooterPlayerName,blockerPlayer,clearerPlayer,saverPlayer,shotBodyType,shotNatureType,shotOutcomeType,shotInitialHeightType,team_id_player_1377,shirt_number_player_1377,visibility_player_1377,confidence_player_1377,x_player_1377,y_player_1377,vx_player_1377,vy_player_1377,vtot_player_1377,ax_player_1377,ay_player_1377,atot_player_1377
4492,1,5054079,4887300.0,480.0,11.0,SH,LW,7.0,False,1.0,0.0,ESTIMATED,-28.97,-3.814,0.52,15407,15407,05:21,15407.0,-28.97,-3.814,480,Wilfried Zaha,,,485,R,P,S,MIDDLETHIRD,13.0,2,ESTIMATED,LOW,-42.674,-1.047,1.6799999999999216,-0.6000000000000005,1.783928249678147,0.8999999999979025,0.0,0.8999999999979025
4492,1,5054576,4887793.0,480.0,11.0,SH,LW,7.0,False,4.0,2.1,VISIBLE,-32.798,-12.068,0.14,28462,28525,12:38,28462.0,-35.611,-11.227,480,Wilfried Zaha,160,,,R,A,B,MIDDLETHIRD,13.0,2,ESTIMATED,LOW,-33.991,-10.055,-2.669999999999959,0.0,2.669999999999959,0.9000000000042974,0.0,0.9000000000042974
4492,1,5054766,4887971.0,1732.0,14.0,SH,CF,13.0,True,6.0,5.902,VISIBLE,-15.242,-5.49,0.09,33647,33824,15:35,33647.0,11.983,2.964,1732,Alexander Isak,,,461,R,A,S,BOTTOMTHIRD,13.0,2,ESTIMATED,LOW,-23.426,-15.484,1.2600000000000477,0.4800000000000004,1.3483323032546985,0.0,0.0,0.0
4492,1,5054949,4888171.0,340.0,24.0,SH,RW,13.0,True,1.0,0.0,VISIBLE,13.12,-1.506,0.11,38396,38396,18:08,38396.0,13.12,-1.506,340,Miguel Almirón,,,,L,A,O,O,13.0,2,ESTIMATED,LOW,5.825,-19.41,2.6700000000000124,1.080000000000041,2.8801562457617043,-0.8999999999995012,3.197442310920451e-12,0.8999999999995012
4492,1,5055045,4888265.0,346.0,7.0,SH,CM,13.0,True,1.0,0.0,ESTIMATED,36.027,-0.17400000000000002,2.12,41436,41436,19:49,41436.0,36.027,-0.17400000000000002,346,Joelinton,,,,L,A,O,TOPTHIRD,13.0,2,ESTIMATED,LOW,38.046,-2.022,-0.659999999999954,0.18000000000000682,0.6841052550594402,6.394884621840902e-12,3.9968028886505635e-13,6.407362457358293e-12
4492,1,5055418,4888649.0,4213.0,28.0,SH,CM,7.0,False,4.0,2.301,VISIBLE,-20.42,9.653,0.0,52719,52788,26:07,52719.0,-24.658,11.781,4213,Cheick Doucouré,,,,R,P,B,BOTTOMTHIRD,13.0,2,ESTIMATED,LOW,-38.028,-6.292,0.2099999999999369,0.2400000000000002,0.3189043743819981,-6.394884621840902e-12,0.0,6.394884621840902e-12
4492,1,5055424,4888654.0,2127.0,14.0,SH,CF,7.0,False,2.0,0.934,VISIBLE,-39.394,1.625,0.06,52807,52835,26:09,52807.0,-40.0,1.53,2127,Jean-Philippe Mateta,,,485,R,P,S,BOTTOMTHIRD,13.0,2,ESTIMATED,LOW,-39.093,-5.987,-1.1100000000001842,0.029999999999983373,1.1104053313994884,-0.9000000000106922,-7.993605777301127e-13,0.9000000000106922
4492,1,5055457,4888690.0,2127.0,14.0,SH,CF,7.0,False,2.0,0.933,VISIBLE,-35.984,-0.676,0.0,53009,53037,26:16,53009.0,-35.766,-1.31,2127,Jean-Philippe Mateta,320,,,L,P,B,MIDDLETHIRD,13.0,2,ESTIMATED,LOW,-38.679,-7.069,0.27000000000001023,-0.359999999999987,0.44999999999999574,-0.8999999999979025,7.993605777301127e-13,0.8999999999979025
4492,1,5055480,4888711.0,2127.0,14.0,SH,CF,7.0,False,1.0,0.0,ESTIMATED,-44.466,6.552,4.67,54844,54844,27:16,54844.0,-44.466,6.552,2127,Jean-Philippe Mateta,,,485,HE,A,S,U,13.0,2,ESTIMATED,LOW,-44.737,0.016,-1.0199999999999676,0.39,1.0920164833920474,0.9000000000042974,0.9000000000000008,1.2727922061388248
4492,1,5055984,4889248.0,335.0,36.0,SH,CM,13.0,True,1.0,0.0,ESTIMATED,37.244,1.883,3.5300000000000002,66139,66139,33:33,66139.0,37.244,1.883,,,,,,,,,,13.0,2,ESTIMATED,LOW,29.171,-0.55,1.230000000000011,-0.3300000000000003,1.2734991166074783,-0.8999999999979025,0.0,0.8999999999979025
4492,1,5056023,4889289.0,3942.0,4.0,SH,LCB,13.0,True,1.0,0.0,ESTIMATED,42.676,0.46900000000000003,3.5700000000000003,66238,66238,33:36,66238.0,42.676,0.46900000000000003,3942,Sven Botman,5090,,,L,A,B,BOTTOMTHIRD,13.0,2,ESTIMATED,LOW,29.681,-0.731,-0.2099999999999369,-0.1200000000000001,0.24186773244890175,0.9000000000042974,0.0,0.9000000000042974
4492,1,5056148,4889407.0,320.0,5.0,SH,RCB,13.0,True,1.0,0.0,VISIBLE,40.126,-0.961,0.06,68910,68910,35:05,68910.0,40.126,-0.961,320,Fabian Schär,5090,,,R,A,B,BOTTOMTHIRD,13.0,2,ESTIMATED,LOW,33.732,-4.841,0.7799999999998875,-1.0199999999999942,1.2840560735418889,-6.394884621840902e-12,0.9000000000003006,0.9000000000003006
